"longitude","latitude","sst","chlc","wind_speed","wind_direction","phoebastria_immutabilis","nyear","nmonth"
-116.410126,27.383348,17.772686,0.14552064,6.3895226,298.41006,1,2014,3
-115.23259,27.387758,17.452091,0.34864262,6.6785626,299.02127,1,2014,3
-115.255974,27.423819,17.661804,0.25156897,6.5427213,298.68036,1,2014,3
-115.54624,27.471155,17.628832,0.24226327,6.3576803,298.25803,1,2014,3
-115.283356,27.500298,17.138548,0.511781,6.4114428,300.04416,1,2014,3
-115.54254,27.500534,17.341164,0.36085686,6.345652,299.5545,1,2014,3
-116.02495,27.563816,17.619076,0.16719338,6.397781,300.01147,1,2014,3
-116.353874,27.579033,17.838161,0.13479291,6.432449,299.83325,1,2014,3
-115.82279,27.595016,17.410862,0.22855835,6.3320217,299.52042,1,2014,3
-116.552155,27.612267,18.005823,0.1213672,6.3280406,298.71164,1,2014,3
-116.78952,27.640251,18.067335,0.12149568,6.2923207,296.72794,1,2014,3
-117.01852,27.734861,18.164381,0.109494515,6.2520475,296.60605,1,2014,3
-115.4124,27.750162,16.85612,0.59734315,6.6259866,299.97012,1,2014,3
-115.68474,27.750347,17.175755,0.35585302,6.3581524,300.11374,1,2014,3
-117.06809,27.75551,18.15305,0.10544552,6.2433324,297.05756,1,2014,3
-115.81941,27.775265,17.40198,0.21062341,6.2476954,300.91656,1,2014,3
-119.55068,27.848501,18.0914,0.086702615,5.7608767,297.49915,1,2014,3
-117.25651,27.880747,18.239342,0.11289935,6.147064,298.14926,1,2014,3
-119.48263,27.882088,18.158916,0.090729155,5.82371,297.62106,1,2014,3
-116.733505,27.912977,18.076786,0.121050425,6.431213,299.63437,1,2014,3
-116.78832,27.914787,18.1243,0.11249282,6.3294945,297.77963,1,2014,3
-116.484604,27.932543,17.928503,0.1231129,6.4363422,300.9485,1,2014,3
-116.13195,27.984392,17.708403,0.15008794,6.3697567,301.5191,1,2014,3
-117.343575,28.001158,18.068884,0.10029504,6.1337185,299.28143,1,2014,3
-115.73217,28.003893,17.219898,0.24411137,6.1695786,300.05588,1,2014,3
-115.99484,28.007849,17.486374,0.17455183,6.2508397,302.19,1,2014,3
-116.24134,28.008781,17.855272,0.12874192,6.423745,303.1211,1,2014,3
-119.31112,28.01193,17.933615,0.08396638,5.7637835,298.61047,1,2014,3
-117.120056,28.020084,17.994318,0.12489545,6.3298736,299.11615,1,2014,3
-119.23615,28.047417,17.953455,0.07814063,5.885448,299.74487,1,2014,3
-117.51975,28.055885,18.091984,0.09138778,5.982391,300.2082,1,2014,3
-117.763985,28.097273,18.122623,0.0842648,6.0813484,300.86682,1,2014,3
-118.200584,28.12084,18.020508,0.08650278,6.102016,300.6417,1,2014,3
-118.25917,28.1573,18.003187,0.08634252,6.1122336,300.803,1,2014,3
-120.31858,28.166101,17.243416,0.08168862,5.6188254,298.0245,1,2014,3
-120.243256,28.172009,17.408503,0.080359705,5.6363907,299.2027,1,2014,3
-118.974205,28.187185,18.038895,0.08279974,5.9792976,298.794,1,2014,3
-120.59569,28.191103,17.13084,0.07332382,5.5409837,296.47256,1,2014,3
-119.990105,28.213842,17.758814,0.07858534,5.6723366,299.2312,1,2014,3
-116.98727,28.22921,17.987246,0.13272697,6.4164553,300.12146,1,2014,3
-119.004944,28.25028,17.67603,0.09494348,5.842987,300.77878,1,2014,3
-116.93696,28.250513,17.916342,0.112713255,6.5158653,301.76303,1,2014,3
-117.4758,28.250643,17.799595,0.10583623,6.167398,300.39017,1,2014,3
-115.90118,28.251707,17.565952,0.15517636,6.3416796,304.918,1,2014,3
-118.76779,28.252728,17.738504,0.096163474,5.9190626,300.1171,1,2014,3
-117.82955,28.255716,17.858252,0.09868153,5.937112,302.27136,1,2014,3
-120.47168,28.256533,17.141556,0.08648061,5.698535,299.0839,1,2014,3
-118.16437,28.259153,17.76073,0.09927365,5.958565,302.59656,1,2014,3
-117.069305,28.259407,17.841837,0.1101154,6.3917527,300.97913,1,2014,3
-118.2981,28.260925,17.669647,0.10095621,5.9808025,302.57407,1,2014,3
-118.61673,28.261282,17.701498,0.09995769,5.9441566,301.096,1,2014,3
-119.28176,28.26174,17.709967,0.093115136,5.7628465,300.2135,1,2014,3
-117.5973,28.26527,17.844181,0.10001425,5.8961854,300.6971,1,2014,3
-119.87225,28.266682,17.698462,0.08122375,5.7232594,300.3285,1,2014,3
-116.0328,28.268702,17.867315,0.123005085,6.565554,304.51303,1,2014,3
-120.194145,28.300488,17.418133,0.07664784,5.745572,300.31387,1,2014,3
-116.72923,28.339104,17.977219,0.10255346,6.635096,302.75598,1,2014,3
-119.694855,28.349148,17.800695,0.08736817,5.742003,300.45038,1,2014,3
-115.74707,28.42379,17.131668,0.23885402,5.880578,304.6089,1,2014,3
-116.448074,28.45687,17.974293,0.10923234,6.664728,303.61853,1,2014,3
-115.98663,28.500313,17.493565,0.15973409,6.6665807,307.62622,1,2014,3
-116.86137,28.500439,17.742542,0.113425866,6.618285,302.84967,1,2014,3
-117.50964,28.500908,17.577604,0.10151002,5.92709,300.6322,1,2014,3
-117.39233,28.50142,17.569891,0.10387276,6.2202654,300.85318,1,2014,3
-117.94828,28.50256,17.516096,0.101416126,5.8851085,302.01572,1,2014,3
-116.70949,28.50278,17.890522,0.10971862,6.723243,304.21005,1,2014,3
-116.48677,28.50371,17.969204,0.110048965,6.7578473,304.93646,1,2014,3
-119.242386,28.503948,17.606907,0.0901055,5.822173,302.87122,1,2014,3
-118.22461,28.503954,17.509216,0.10710398,5.9743533,303.1847,1,2014,3
-119.29706,28.504198,17.595667,0.09134072,5.819459,301.7236,1,2014,3
-118.7578,28.504553,17.668182,0.09057982,5.8189,303.36237,1,2014,3
-116.183784,28.504824,17.813324,0.12305219,6.758831,305.97128,1,2014,3
-118.42335,28.507313,17.522076,0.10736504,5.9769726,303.3976,1,2014,3
-119.97521,28.510061,17.631037,0.08361235,5.9012966,300.7806,1,2014,3
-120.28266,28.510727,17.102823,0.08696678,5.85942,299.8904,1,2014,3
-117.166504,28.51325,17.606112,0.1099912,6.471329,301.79892,1,2014,3
-118.67678,28.520832,17.58605,0.09699377,5.875032,302.7704,1,2014,3
-119.502556,28.524979,17.643276,0.08858475,5.8208075,301.3689,1,2014,3
-115.63938,28.534351,17.025303,0.24491195,6.331169,310.83688,1,2014,3
-120.21585,28.544888,17.380379,0.07758252,5.956148,300.91428,1,2014,3
-120.87742,28.597946,17.030334,0.096946165,5.6073613,298.66754,1,2014,3
-121.01526,28.60294,16.922245,0.09552385,5.4790964,297.5004,1,2014,3
-120.697556,28.619066,17.076149,0.094872855,5.7180853,299.43417,1,2014,3
-117.94117,28.750128,17.377653,0.102208175,6.392785,299.93387,1,2014,3
-118.1642,28.750221,17.441225,0.11342035,6.3515115,301.93845,1,2014,3
-115.84134,28.750341,17.291948,0.17910609,6.9482155,308.86588,1,2014,3
-116.03736,28.750368,17.657604,0.12574187,6.954035,307.05115,1,2014,3
-118.43427,28.751143,17.384157,0.12272438,6.407761,301.73053,1,2014,3
-119.873634,28.751762,17.554255,0.08394439,5.9923034,302.39053,1,2014,3
-116.34616,28.752478,17.849306,0.113566555,6.844852,305.96582,1,2014,3
-117.56388,28.754484,17.377668,0.10352557,6.2292857,300.26968,1,2014,3
-115.74722,28.755716,16.83655,0.29186946,6.7967052,312.1376,1,2014,3
-117.04859,28.755926,17.450104,0.110375576,6.6044607,302.82385,1,2014,3
-117.486176,28.757196,17.433775,0.10619614,6.3186865,301.80353,1,2014,3
-119.12171,28.757326,17.595158,0.08848639,5.8105507,303.4166,1,2014,3
-118.68571,28.757746,17.516073,0.087445505,5.918716,303.42157,1,2014,3
-116.95842,28.758644,17.592537,0.11735457,6.6902018,304.40268,1,2014,3
-118.75802,28.761253,17.631018,0.09072125,5.73328,304.41074,1,2014,3
-116.62382,28.763807,17.793713,0.11870448,6.795837,305.5377,1,2014,3
-119.66045,28.766743,17.566793,0.087714404,5.927377,303.0198,1,2014,3
-120.9169,28.77128,17.03468,0.09819332,5.654883,300.14703,1,2014,3
-119.25,28.796303,17.567657,0.08844101,5.8552713,303.01157,1,2014,3
-120.059975,28.81619,17.351635,0.08117051,5.992412,301.4885,1,2014,3
-118.35337,29.000004,17.232494,0.11967084,6.4540377,303.37,1,2014,3
-118.570045,29.000109,17.40392,0.09000346,5.8445272,304.61456,1,2014,3
-116.27333,29.000195,17.538832,0.12436848,6.9220014,306.8368,1,2014,3
-118.10105,29.000282,17.355024,0.106418915,6.5095778,304.10507,1,2014,3
-116.19199,29.000612,17.401106,0.14260028,6.976998,307.83896,1,2014,3
-117.96791,29.000628,17.307886,0.09686109,6.504291,304.34973,1,2014,3
-116.60819,29.000813,17.573177,0.1265003,6.842003,306.92014,1,2014,3
-119.178665,29.00087,17.525349,0.09085112,5.7863374,304.6513,1,2014,3
-116.847786,29.000895,17.460539,0.12251162,6.704454,306.2033,1,2014,3
-117.13234,29.00138,17.3987,0.11615753,6.6718287,304.9287,1,2014,3
-117.43648,29.001434,17.342905,0.11455806,6.429588,304.481,1,2014,3
-119.3676,29.002474,17.510067,0.08783803,5.933102,304.4936,1,2014,3
-115.90834,29.003908,17.049974,0.23250754,6.9846187,309.36444,1,2014,3
-118.89213,29.004131,17.50272,0.08995454,5.6428714,305.04193,1,2014,3
-117.68068,29.004686,17.259645,0.10659314,6.56678,302.31058,1,2014,3
-120.84525,29.007006,17.068388,0.09514078,5.7706847,302.25797,1,2014,3
-119.82006,29.012884,17.502768,0.08463891,6.0464864,304.2157,1,2014,3
-119.51584,29.017954,17.53298,0.08706157,5.996966,304.53806,1,2014,3
-115.71434,29.022913,16.598276,0.36227906,7.026443,312.8661,1,2014,3
-120.748535,29.102383,17.08253,0.09122003,5.983185,302.78702,1,2014,3
-115.49962,29.118723,16.28684,0.6521285,6.5765796,318.82227,1,2014,3
