"longitude","latitude","sst","chlc","wind_speed","wind_direction","phoebastria_immutabilis","nyear","nmonth"
-126.99646,26.909464,19.1035,0.05496232,3.910307,220.1245,1,2014,2
-127.14219,26.909515,19.046965,0.05465147,3.827819,218.63643,1,2014,2
-127.284996,26.91123,18.958523,0.052562337,3.5924366,217.76308,1,2014,2
-126.71037,26.915653,19.134127,0.05657708,4.0569077,222.10269,1,2014,2
-127.5651,26.923962,18.943914,0.053413596,3.46013,217.36667,1,2014,2
-126.495026,26.929731,19.133635,0.05546665,4.165585,223.93008,1,2014,2
-126.20733,26.93555,19.093351,0.055716027,4.1938643,226.0627,1,2014,2
-127.77541,26.938526,18.906832,0.053748827,3.374048,216.56424,1,2014,2
-128.06604,26.959974,18.82496,0.05406108,3.3020296,216.62697,1,2014,2
-125.95345,26.964254,19.03566,0.057219107,4.2190046,227.68977,1,2014,2
-128.27101,26.987883,18.803059,0.055879492,3.19789,213.3919,1,2014,2
-125.67939,26.992289,18.918549,0.055890813,4.1749372,228.9819,1,2014,2
-128.40253,27.003107,18.70889,0.05888898,3.1016126,215.0223,1,2014,2
-125.54886,27.00625,18.62736,0.052645262,4.1901073,233.54033,1,2014,2
-125.484024,27.012917,18.595135,0.052488737,4.1935663,236.08257,1,2014,2
-128.54108,27.028053,18.71852,0.057730947,3.1230273,211.24693,1,2014,2
-125.20235,27.041582,18.687435,0.056449655,4.176985,235.92949,1,2014,2
-124.95141,27.045467,18.605503,0.053923957,4.096462,236.34872,1,2014,2
-124.732445,27.05371,18.495173,0.051100947,4.0419054,237.52881,1,2014,2
-128.79156,27.055525,18.714132,0.05641864,3.0411346,206.14377,1,2014,2
-129.02165,27.066507,18.695187,0.055298395,3.0501149,206.06099,1,2014,2
-124.48129,27.068632,18.397055,0.04965695,4.005621,241.19548,1,2014,2
-124.22259,27.108755,18.304289,0.050916124,4.038341,243.3715,1,2014,2
-123.95913,27.112303,18.269733,0.051382005,4.061182,244.3183,1,2014,2
-129.28398,27.117706,18.70478,0.0554677,3.0919573,204.65866,1,2014,2
-123.691734,27.13882,18.156618,0.054093458,4.149723,245.96742,1,2014,2
