"longitude","latitude","sst","chlc","wind_speed","wind_direction","phoebastria_immutabilis","nyear","nmonth"
-121.19608,28.178852,17.974535,0.09355088,3.700608,263.95047,1,2014,1
-123.930664,28.181969,17.70915,0.07333207,4.17872,245.09079,1,2014,1
-123.07174,28.188366,17.945147,0.06871387,4.130109,252.09149,1,2014,1
-122.93415,28.191471,18.10463,0.06583218,4.1908712,254.07338,1,2014,1
-123.28787,28.196276,17.854534,0.068431556,4.0344143,249.54369,1,2014,1
-121.27027,28.19843,17.966923,0.08905324,3.68072,263.91766,1,2014,1
-124.03548,28.20168,17.90571,0.06661083,4.2531166,243.01321,1,2014,1
-122.64865,28.20539,18.246414,0.067938484,4.2444906,255.53813,1,2014,1
-121.56238,28.205667,17.915775,0.083665885,3.771273,263.91147,1,2014,1
-123.73164,28.21669,17.71945,0.076687045,4.1392994,247.71022,1,2014,1
-124.25948,28.227657,17.988054,0.06299794,4.452864,240.09552,1,2014,1
-122.456024,28.240852,18.230003,0.06844835,4.1439714,258.446,1,2014,1
-123.74295,28.250362,17.633783,0.08209095,4.213692,250.01689,1,2014,1
-122.37678,28.256231,18.149834,0.069925696,4.156008,260.583,1,2014,1
-124.56627,28.25863,17.918304,0.06345024,4.4815397,240.7467,1,2014,1
-121.02982,28.25877,17.426514,0.09717879,3.6444478,267.169,1,2014,1
-121.74081,28.26098,17.709131,0.08399818,3.7938108,267.43173,1,2014,1
-121.96585,28.269814,17.805368,0.08049708,3.937423,264.60794,1,2014,1
-120.992065,28.28402,17.32296,0.10927311,3.6926548,267.8272,1,2014,1
-124.78164,28.284637,18.004005,0.06444739,4.538039,238.51657,1,2014,1
-122.20939,28.307356,18.08374,0.07142271,4.0178227,262.13208,1,2014,1
-125.01844,28.360506,18.00071,0.06430468,4.5803275,237.66313,1,2014,1
-120.135574,28.363977,17.606287,0.1037964,3.4683137,273.96793,1,2014,1
-120.63489,28.4051,17.45898,0.114151314,3.6500547,269.68607,1,2014,1
-119.961174,28.436592,17.690477,0.10580766,3.511595,277.69168,1,2014,1
-125.26883,28.438227,17.993385,0.06509286,4.698351,236.54669,1,2014,1
-120.49701,28.443058,17.604382,0.11309288,3.5723662,272.08548,1,2014,1
-121.43111,28.45156,17.654211,0.08727496,3.6454904,266.85504,1,2014,1
-121.25267,28.503862,17.319662,0.09896147,3.6900542,270.31055,1,2014,1
-120.16093,28.508945,16.947483,0.13481042,3.439535,278.6955,1,2014,1
-119.75322,28.511845,17.142439,0.12746453,3.6026795,281.52826,1,2014,1
-122.1085,28.514862,17.625322,0.08631291,4.06389,263.78436,1,2014,1
-125.49229,28.525082,17.727472,0.06772894,4.724923,239.47298,1,2014,1
-121.1871,28.526136,17.035149,0.11397269,3.6108863,271.2695,1,2014,1
-119.68251,28.536264,17.372421,0.11601444,3.6769552,284.48978,1,2014,1
-125.55374,28.550028,17.924011,0.06955451,4.8357525,237.756,1,2014,1
-118.83577,28.577137,17.769987,0.10477053,3.8879943,293.33405,1,2014,1
-120.96999,28.604443,16.830696,0.14185007,3.6244724,272.84662,1,2014,1
-119.466095,28.608583,17.57926,0.1048203,3.6977832,285.69,1,2014,1
-125.763725,28.656492,18.009115,0.06817562,4.881516,235.85419,1,2014,1
-118.63902,28.660997,17.811735,0.12359056,4.0139008,294.58572,1,2014,1
-119.24232,28.6742,17.778353,0.10509635,3.7636418,289.39783,1,2014,1
-120.267365,28.684809,16.899757,0.1352649,3.473111,276.61346,1,2014,1
-120.58525,28.685577,16.831049,0.14568795,3.5453913,275.34073,1,2014,1
-119.30134,28.751818,17.225166,0.116824254,3.7922685,287.336,1,2014,1
-118.54052,28.753328,17.738903,0.11588273,4.272751,293.4451,1,2014,1
-120.46252,28.757969,16.70658,0.16613002,3.4910457,280.73056,1,2014,1
-125.785774,28.762426,17.661428,0.06217496,4.9564705,236.85498,1,2014,1
-120.614426,28.76264,16.643732,0.16332962,3.5412004,279.7549,1,2014,1
-119.217606,28.765762,17.33916,0.11690142,3.86598,290.12238,1,2014,1
-121.4674,28.769117,17.107834,0.10814948,3.7277339,273.69138,1,2014,1
-118.919014,28.770098,17.621807,0.11312766,3.975085,294.0503,1,2014,1
-121.525154,28.786089,17.334007,0.101795964,3.8537514,272.5283,1,2014,1
-118.49709,28.787724,17.6467,0.13599856,4.593038,289.85522,1,2014,1
-122.14067,28.789274,17.464943,0.0904734,4.1140733,265.2595,1,2014,1
-118.14637,28.798185,17.673853,0.12842947,3.9311702,289.31067,1,2014,1
